spell_name,ritual,school,tags,level,casting_time,range,components,duration,description,classes,source_book
Hallow,FALSE,abjuration,"buff, control, debuff, warding",5,24 hours,Touch,"V, S, M (incense worth 1,000+ GP, which the spell consumes)",Until dispelled,"You touch a point and infuse an area around it with holy or unholy power. The area can have a radius up to 60 feet, and the spell fails if the radius includes an area already under the effect of Hallow. The affected area has the following effects.\nHallowed Ward. Choose any of these creature types: Aberration, Celestial, Elemental, Fey, Fiend, or Undead. Creatures of the chosen types can't willingly enter the area, and any creature that is possessed by or that has the Charmed or Frightened condition from such creatures isn't possessed, Charmed, or Frightened by them while in the area.\nExtra Effect. You bind an extra effect to the area from the list below:\n\nCourage. Creatures of any types you choose can't gain the Frightened condition while in the area.\nDarkness. Darkness fills the area. Normal light, as well as magical light created by spells of a level lower than this spell, can't illuminate the area.\nDaylight. Bright light fills the area. Magical Darkness created by spells of a level lower than this spell can't extinguish the light.\nPeaceful Rest. Dead bodies interred in the area can't be turned into Undead.\nExtradimensional Interference. Creatures of any types you choose can't enter or exit the area using teleportation or interplanar travel.\nFear. Creatures of any types you choose have the Frightened condition while in the area.\nResistance. Creatures of any types you choose have Resistance to one damage type of your choice while in the area.\nSilence. No sound can emanate from within the area, and no sound can reach into it.\nTongues. Creatures of any types you choose can communicate with any other creature in the area even if they don't share a common language.\nVulnerability. Creatures of any types you choose have Vulnerability to one damage type of your choice while in the area.",Cleric,Player's Handbook 2024
Hallucinatory Terrain,FALSE,illusion,deception ,4,10 minutes,300 feet,"V, S, M (a mushroom)",24 hours,"You make natural terrain in a 150-foot Cube in range look, sound, and smell like another sort of natural terrain. Thus, open fields or a road can be made to resemble a swamp, hill, crevasse, or some other difficult or impassable terrain. A pond can be made to seem like a grassy meadow, a precipice like a gentle slope, or a rock-strewn gully like a wide and smooth road. Manufactured structures, equipment, and creatures within the area aren't changed.\nThe tactile characteristics of the terrain are unchanged, so creatures entering the area are likely to notice the illusion. If the difference isn't obvious by touch, a creature examining the illusion can take the Study action to make an Intelligence (Investigation) check against your spell save DC to disbelieve it. If a creature discerns that the terrain is illusory, the creature sees a vague image superimposed on the real terrain.","Bard, Druid, Warlock, Wizard",Player's Handbook 2024
Harm,FALSE,necromancy,"damage, necrotic, debuff",6,Action,60 feet,"V, S",Instantaneous,"You unleash virulent magic on a creature you can see within range. The target makes a Constitution saving throw. On a failed save, it takes 14d6 Necrotic damage, and its Hit Point maximum is reduced by an amount equal to the Necrotic damage it took. On a successful save, it takes half as much damage only. This spell can't reduce a target's Hit Point maximum below 1.",Cleric,Player's Handbook 2024
Haste,FALSE,transmutation,buff,3,Action,30 feet,"V, S, M (a shaving of licorice root)","Concentration, up to 1 minute","Choose a willing creature that you can see within range. Until the spell ends, the target's Speed is doubled, it gains a +2 bonus to Armor Class, it has Advantage on Dexterity saving throws, and it gains an additional action on each of its turns. That action can be used to take only the Attack (one attack only), Dash, Disengage, Hide, or Utilize action.\nWhen the spell ends, the target is Incapacitated and has a Speed of 0 until the end of its next turn, as a wave of lethargy washes over it.","Sorcerer, Wizard",Player's Handbook 2024
Heal,FALSE,abjuration,healing,6,Action,60 feet,"V, S",Instantaneous,"Choose a creature that you can see within range. Positive energy washes through the target, restoring 70 Hit Points. This spell also ends the Blinded, Deafened, and Poisoned conditions on the target.\nUsing a Higher-Level Spell Slot. The healing increases by 10 for each spell slot level above 6.","Cleric, Druid",Player's Handbook 2024
Healing Word,FALSE,abjuration,healing,1,Bonus Action,60 feet,V,Instantaneous,A creature of your choice that you can see within range regains Hit Points equal to 2d4 plus your spellcasting ability modifier.\nUsing a Higher-Level Spell Slot. The healing increases by 2d4 for each spell slot level above 1.,"Bard, Cleric, Druid",Player's Handbook 2024
Heat Metal,FALSE,transmutation,"damage, fire, debuff",2,Action,60 feet,"V, S, M (a piece of iron and a flame)","Concentration, up to 1 minute","Choose a manufactured metal object, such as a metal weapon or a suit of Heavy or Medium metal armor, that you can see within range. You cause the object to glow red-hot. Any creature in physical contact with the object takes 2d8 Fire damage when you cast the spell. Until the spell ends, you can take a Bonus Action on each of your later turns to deal this damage again if the object is within range.\nIf a creature is holding or wearing the object and takes the damage from it, the creature must succeed on a Constitution saving throw or drop the object if it can. If it doesn't drop the object, it has Disadvantage on attack rolls and ability checks until the start of your next turn.\nUsing a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 2.","Bard, Druid",Player's Handbook 2024
Hellish Rebuke,FALSE,evocation,"damage, fire",1,"Reaction, which you take in response to taking damage from a creature that you can see within 60 feet of yourself",60 feet,"V, S",Instantaneous,"The creature that damaged you is momentarily surrounded by green flames. It makes a Dexterity saving throw, taking 2d10 Fire damage on a failed save or half as much damage on a successful one.\nUsing a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 1.",Warlock,Player's Handbook 2024
Heroes' Feast,FALSE,conjuration,buff,6,10 minutes,Self,"V, S, M (a gem-encrusted bowl worth 1,000+ GP, which the spell consumes)",Instantaneous,"You conjure a feast that appears on a surface in an unoccupied 10-foot Cube next to you. The feast takes 1 hour to consume and disappears at the end of that time, and the beneficial effects don't set in until this hour is over. Up to twelve creatures can partake of the feast.\nA creature that partakes gains several benefits, which last for 24 hours. The creature has Resistance to Poison damage, and it has Immunity to the Frightened and Poisoned conditions. Its Hit Point maximum also increases by 2d10, and it gains the same number of Hit Points.","Bard, Cleric, Druid",Player's Handbook 2024
Heroism,FALSE,enchantment,buff,1,Action,Touch,"V, S","Concentration, up to 1 minute","A willing creature you touch is imbued with bravery. Until the spell ends, the creature is immune to the Frightened condition and gains Temporary Hit Points equal to your spellcasting ability modifier at the start of each of its turns.\nUsing a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.","Bard, Paladin",Player's Handbook 2024
Hex,FALSE,enchantment,"damage, necrotic, debuff",1,Bonus Action,90 feet,"V, S, M (the petrified eye of a newt)","Concentration, up to 1 hour","You place a curse on a creature that you can see within range. Until the spell ends, you deal an extra 1d6 Necrotic damage to the target whenever you hit it with an attack roll. Also, choose one ability when you cast the spell. The target has Disadvantage on ability checks made with the chosen ability.\nIf the target drops to 0 Hit Points before this spell ends, you can use a Bonus Action on a later turn to curse a new creature.\nUsing a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 2 (up to 4 hours), 3-4 (up to 8 hours), or 5+ (up to 24 hours).",Warlock,Player's Handbook 2024
Hold Monster,FALSE,enchantment,"control, debuff",5,Action,90 feet,"V, S, M (a straight piece of iron)","Concentration, up to 1 minute","Choose a creature that you can see within range. The target must succeed on a Wisdom saving throw or have the Paralyzed condition for the duration. At the end of each of its turns, the target repeats the save, ending the spell on itself on a success.\nUsing a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 5.","Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Hold Person,FALSE,enchantment,"control, debuff",2,Action,60 feet,"V, S, M (a straight piece of iron)","Concentration, up to 1 minute","Choose a Humanoid that you can see within range. The target must succeed on a Wisdom saving throw or have the Paralyzed condition for the duration. At the end of each of its turns, the target repeats the save, ending the spell on itself on a success.\nUsing a Higher-Level Spell Slot. You can target one additional Humanoid for each spell slot level above 2.","Bard, Cleric, Druid, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Holy Aura,FALSE,abjuration,"buff, debuff",8,Action,Self,"V, S, M (a reliquary worth 1,000+ GP)","Concentration, up to 1 minute","For the duration, you emit an aura in a 30-foot Emanation. While in the aura, creatures of your choice have Advantage on all saving throws, and other creatures have Disadvantage on attack rolls against them. In addition, when a Fiend or an Undead hits an affected creature with a melee attack roll, the attacker must succeed on a Constitution saving throw or have the Blinded condition until the end of its next turn.",Cleric,Player's Handbook 2024
Hunger of Hadar,FALSE,conjuration,"control, damage, cold",3,Action,150 feet,"V, S, M (a pickled tentacle)","Concentration, up to 1 minute","You open a gateway to the Far Realm, a region infested with unspeakable horrors. A 20-foot-radius Sphere of Darkness appears, centered on a point with range and lasting for the duration. The Sphere is Difficult Terrain, and it is filled with strange whispers and slurping noises, which can be heard up to 30 feet away. No light, magical or otherwise, can illuminate the area, and creatures fully within it have the Blinded condition.\nAny creature that starts its turn in the area takes 2d6 Cold damage. Any creature that ends its turn there must succeed on a Dexterity saving throw or take 2d6 Acid damage from otherworldly tentacles.\nUsing a Higher-Level Spell Slot. The Cold or Acid damage (your choice) increases by 1d6 for each spell slot level above 3.",Warlock,Player's Handbook 2024
Hunter's Mark,FALSE,divination,"damage, debuff",1,Bonus Action,90 feet,V,"Concentration, up to 1 hour","You magically mark one creature you can see within range as your quarry. Until the spell ends, you deal an extra 1d6 Force damage to the target whenever you hit it with an attack roll. You also have Advantage on any Wisdom (Perception or Survival) check you make to find it.\nIf the target drops to 0 Hit Points before this spell ends, you can use a Bonus Action to mark a new creature you can see within range.\nUsing a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 3-4 (up to 8 hours) or 5+ (up to 24 hours).",Ranger,Player's Handbook 2024
Hypnotic Pattern,FALSE,illusion,"control, debuff",3,Action,120 feet,"S, M (a pinch of confetti)","Concentration, up to 1 minute","You create a twisting pattern of colors in a 30-foot Cube within range. The pattern appears for a moment and vanishes. Each creature in the area who can see the pattern must succeed on a Wisdom saving throw or have the Charmed condition for the duration. While Charmed, the creature has the Incapacitated condition and a Speed of 0.\nThe spell ends for an affected creature if it takes any damage or if someone else uses an action to shake the creature out of its stupor.","Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Ice Knife,FALSE,conjuration,"damage, cold, piercing",1,Action,60 feet,"S, M (a drop of water or a piece of ice)",Instantaneous,Unknown,"Druid, Sorcerer, Wizard",Player's Handbook 2024
Ice Storm,FALSE,evocation,"control, damage, cold",4,Action,300 feet,"V, S, M (a mitten)",Instantaneous,"Hail falls in a 20-foot-radius, 40-foot-high Cylinder centered on a point within range. Each creature in the Cylinder makes a Dexterity saving throw. A creature takes 2d10 Bludgeoning damage and 4d6 Cold damage on a failed save or half as much damage on a successful one.\nHailstones turn ground in the Cylinder into Difficult Terrain until the end of your next turn.\nUsing a Higher-Level Spell Slot. The Bludgeoning damage increases by 1d10 for each spell slot level above 4.","Druid, Sorcerer, Wizard",Player's Handbook 2024
Identify,TRUE,divination,detection,1,1 minute or Ritual,Touch,"V, S, M (a pearl worth 100+ GP)",Instantaneous,"You touch an object throughout the spell's casting. If the object is a magic item or some other magical object, you learn its properties and how to use them, whether it requires Attunement, and how many charges it has, if any. You learn whether any ongoing spells are affecting the item and what they are. If the item was created by a spell, you learn that spell's name.\nIf you instead touch a creature throughout the casting, you learn which ongoing spells, if any, are currently affecting it.","Bard, Wizard",Player's Handbook 2024
Illusory Script,TRUE,illusion,"communication, utility",1,1 minute or Ritual,Touch,"S, M (ink worth 10+ GP, which the spell consumes)",10 days,"You write on parchment, paper, or another suitable material and imbue it with an illusion that lasts for the duration. To you and any creatures you designate when you cast the spell, the writing appears normal, seems to be written in your hand, and conveys whatever meaning you intended when you wrote the text. To all others, the writing appears as if it were written in an unknown or magical script that is unintelligible. Alternatively, the illusion can alter the meaning, handwriting, and language of the text, though the language must be one you know.\nIf the spell is dispelled, the original script and the illusion both disappear.\nA creature that has Truesight can read the hidden message.","Bard, Warlock, Wizard",Player's Handbook 2024
Imprisonment,FALSE,abjuration,"control, warding",9,1 minute,30 feet,"V, S, M (a statuette of the target worth 5,000+ GP)",Until dispelled,"You create a magical restraint to hold a creature that you can see within range. The target must make a Wisdom saving throw. On a successful save, the target is unaffected, and it is immune to this spell for the next 24 hours. On a failed save, the target is imprisoned. While imprisoned, the target doesn't need to breathe, eat, or drink, and it doesn't age. Divination spells can't locate or perceive the imprisoned target, and the target can't teleport.\nUntil the spell ends, the target is also affected by one of the following effects of your choice:\nBurial. The target is entombed beneath the earth in a hollow globe of magical force that is just large enough to contain the target. Nothing can pass into or out of the globe.\nChaining. Chains firmly rooted in the ground hold the target in place. The target has the Restrained condition and can't be moved by any means.\nHedged Prison. The target is trapped in a demiplane that is warded against teleportation and planar travel. The demiplane is your choice of a labyrinth, a cage, a tower, or the like.\nMinimus Containment. The target becomes 1 inch tall and is trapped inside an indestructible gemstone or a similar object. Light can pass through the gemstone (allowing the target to see out and other creatures to see in), but nothing else can pass through by any means.\nSlumber. The target has the Unconscious condition and can't be awoken.\nEnding the Spell. When you cast the spell, specify a trigger that will end it. The trigger can be as simple or as elaborate as you choose, but the DM must agree that it has a high likelihood of happening within the next decade. The trigger must be an observable action, such as someone making a particular offering at the temple of your god, saving your true love, or defeating a specific monster.\nA Dispel Magic spell can end the spell only if it is cast with a level 9 spell slot, targeting either the prison or the component used to create it.","Warlock, Wizard",Player's Handbook 2024
Incendiary CLoud,FALSE,conjuration,"damage, fire, debuff",8,Action,150 feet,"V, S","Concentration, up to 1 minute","A swirling cloud of embers and smoke fills a 20-foot-radius Sphere centered on a point within range. The cloud's area is Heavily Obscured. It lasts for the duration or until a strong wind (like that created by Gust of Wind) disperses it.\nWhen the cloud appears, each creature in it makes a Dexterity saving throw, taking 10d8 Fire damage on a failed save or half as much damage on a successful one. A creature must also make this save when the Sphere moves into its space and when it enters the Sphere or ends its turn there. A creature makes this save only once per turn.\nThe cloud moves 10 feet away from you in a direction you choose at the start of each of your turns.","Druid, Sorcerer, Wizard",Player's Handbook 2024
Inflict Wounds,FALSE,necromancy,"damage, necrotic",1,Action,Touch,"V, S",Instantaneous,"A creature you touch makes a Constitution saving throw, taking 2d10 Necrotic damage on a failed save or half as much damage on a successful one.\nUsing a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 1.",Cleric,Player's Handbook 2024
Insect Plague,FALSE,conjuration,"damage, piercing, control",5,Action,300 feet,"V, S, M (a locust)","Concentration, up to 10 minutes","Swarming locusts fill a 20-foot-radius Sphere centered on a point you choose within range. The Sphere remains for the duration, and its area is Lightly Obscured and Difficult Terrain.\nWhen the swarm appears, each creature in it makes a Constitution saving throw, taking 4d10 Piercing damage on a failed save or half as much damage on a successful one. A creature also makes this save when it enters the spell's area for the first time on a turn or ends its turn there. A creature makes this save only once per turn.\nUsing a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 5.","Cleric, Druid, Sorcerer",Player's Handbook 2024
Invisibility,FALSE,illusion,"stealth, utility, buff",2,Action,Touch,"V, S, M (an eyelash in gum arabic)","Concentration, up to 1 hour","A creature you touch has the Invisible condition until the spell ends. The spell ends early immediately after the target makes an attack roll, deals damage, or casts a spell.\nUsing a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2.","Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Jallarzi's Storm of Radiance,FALSE,evocation,"damage, thunder, radiant, debuff",5,Action,120 feet,"V, S, M (a pinch of phosphorus)","Concentration, up to 1 minute",Unknown,"Warlock, Wizard",Player's Handbook 2024
Jump,FALSE,transmutation,"buff, movement",1,Bonus Action,Touch,"V, S, M (a grasshopper's hind leg)",1 minute,"You touch a willing creature. Once on each of its turns until the spell ends, that creature can jump up to 30 feet by spending 10 feet of movement.\nUsing a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.","Druid, Ranger, Sorcerer, Wizard",Player's Handbook 2024
Knock,FALSE,transmutation,utility,2,Action,60 feet,V,Instantaneous,"Choose an object that you can see within range. The object can be a door, a box, a chest, a set of manacles, a padlock, or another object that contains a mundane or magical means that prevents access.\nA target that is held shut by a mundane lock or that is stuck or barred becomes unlocked, unstuck, or unbarred. If the object has multiple locks, only one of them is unlocked.\nIf the target is held shut by Arcane Lock, that spell is suppressed for 10 minutes, during which time the target can be opened and closed.\nWhen you cast the spell, a loud knock, audible up to 300 feet away, emanates from the target.","Bard, Sorcerer, Wizard",Player's Handbook 2024
Legend Lore,FALSE,divination,"prediction, utility",5,10 minutes,Self,"V, S, M (incense worth 250+ GP, which the spell consumes, and four ivory strips worth 50+ GP each)",Instantaneous,"Name or describe a famous person, place, or object. The spell brings to your mind a brief summary of the significant lore about that famous thing, as described by the DM.\nThe lore might consist of important details, amusing revelations, or even secret lore that has never been widely known. The more information you already know about the thing, the more precise and detailed the information you receive is. That information is accurate but might be couched in figurative language or poetry, as determined by the DM.\nIf the famous thing you chose isn't actually famous, you hear sad musical notes played on a trombone, and the spell fails.","Bard, Cleric, Wizard",Player's Handbook 2024
Leomund's Secret Chest,FALSE,conjuration,utility,4,Action,Touch,"V, S, M (a chest, 3 feet by 2 feet by 2 feet, constructed from rare materials worth 5,000+ GP, and a Tiny replica of the chest made from the same materials worth 50+ GP)",Instantaneous,Unknown,Wizard,Player's Handbook 2024
Leomund's Tiny Hut,TRUE,evocation,"utility, warding",3,1 minute or Ritual,Self,"V, S, M (a crystal bead)",8 hours,Unknown,"Bard, Wizard",Player's Handbook 2024
Lesser Restoration,FALSE,abjuration,buff,2,Bonus Action,Touch,"V, S",Instantaneous,"You touch a creature and end one condition on it: Blinded, Deafened, Paralyzed, or Poisoned.","Bard, Cleric, Druid, Paladin, Ranger",Player's Handbook 2024
Levitate,FALSE,transmutation,"control, movement, utility",2,Action,60 feet,"V, S, M (a metal spring)","Concentration, up to 10 minutes","One creature or loose object of your choice that you can see within range rises vertically up to 20 feet and remains suspended there for the duration. The spell can levitate an object that weighs up to 500 pounds. An unwilling creature that succeeds on a Constitution saving throw is unaffected.\nThe target can move only by pushing or pulling against a fixed object or surface within reach (such as a wall or a ceiling), which allows it to move as if it were climbing. You can change the target's altitude by up to 20 feet in either direction on your turn. If you are the target, you can move up or down as part of your move. Otherwise, you can take a Magic action to move the target, which must remain within the spell's range.\nWhen the spell ends, the target floats gently to the ground if it is still aloft.","Sorcerer, Wizard",Player's Handbook 2024
Light,FALSE,evocation,"utility, creation",0,Action,Touch,"V, M (a firefly or phosphorescent moss)",1 hour,"You touch one Large or smaller object that isn't being worn or carried by someone else. Until the spell ends, the object sheds Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. The light can be colored as you like.\nCovering the object with something opaque blocks the light. The spell ends if you cast it again.","Bard, Cleric, Sorcerer, Wizard",Player's Handbook 2024
Lightning Arrow,FALSE,transmutation,"damage, lightning",3,"Bonus Action, which you can take immediately after hitting or missing a target with a ranged attack using a weapon",Self,"V, S",Instantaneous,Unknown,Ranger,Player's Handbook 2024
Lightning Bolt,FALSE,evocation,"damage, lightning",3,Action,Self,"V, S, M (a bit of fur and a crystal rod)",Instantaneous,"A stroke of lightning forming a 100-foot-long, 5-foot-wide Line blasts out from you in a direction you choose. Each creature in the Line makes a Dexterity saving throw, taking 8d6 Lightning damage on a failed save or half as much damage on a successful one.\nUsing a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 3.","Sorcerer, Wizard",Player's Handbook 2024
Locate Animals or Plants,TRUE,divination,detection,2,Action or Ritual,Self,"V, S, M (fur from a bloodhound)",Instantaneous,"Describe or name a specific kind of Beast, Plant creature, or nonmagical plant. You learn the direction and distance to the closest creature or plant of that kind within 5 miles, if any are present.","Bard, Druid, Ranger",Player's Handbook 2024
Locate Creature,FALSE,divination,detection,4,Action,Self,"V, S, M (fur from a bloodhound)","Concentration, up to 1 hour","Describe or name a creature that is familiar to you. You sense the direction to the creature's location if that creature is within 1,000 feet of you. If the creature is moving, you know the direction of its movement.\nThe spell can locate a specific creature known to you or the nearest creature of a specific kind (such as a human or a unicorn) if you have seen such a creature up close—within 30 feet—at least once. If the creature you described or named is in a different form, such as under the effects of a Flesh to Stone or Polymorph spell, this spell doesn't locate the creature.\nThis spell can't locate a creature if any thickness of lead blocks a direct path between you and the creature.","Bard, Cleric, Druid, Paladin, Ranger, Wizard",Player's Handbook 2024
Locate Object,FALSE,divination,detection,2,Action,Self,"V, S, M (a forked twig)","Concentration, up to 10 minutes","Describe or name an object that is familiar to you. You sense the direction to the object's location if that object is within 1,000 feet of you. If the object is in motion, you know the direction of its movement.\nThe spell can locate a specific object known to you if you have seen it up close—within 30 feet—at least once. Alternatively, the spell can locate the nearest object of a particular kind, such as a certain kind of apparel, jewelry, furniture, tool, or weapon.\nThis spell can't locate an object if any thickness of lead blocks a direct path between you and the object.","Bard, Cleric, Druid, Paladin, Ranger, Wizard",Player's Handbook 2024
Longstrider,FALSE,transmutation,"buff, movement",1,Action,Touch,"V, S, M (a pinch of dirt)",1 hour,You touch a creature. The target's Speed increases by 10 feet until the spell ends.\nUsing a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.,"Bard, Druid, Ranger, Wizard",Player's Handbook 2024
Mage Armor,FALSE,abjuration,defense,1,Action,Touch,"V, S, M (a piece of cured leather)",8 hours,"You touch a willing creature who isn't wearing armor. Until the spell ends, the target's base AC becomes 13 plus its Dexterity modifier. The spell ends early if the target dons armor.","Sorcerer, Wizard",Player's Handbook 2024
Mage Hand,FALSE,conjuration,"utility, creation",0,Action,30 feet,"V, S",1 minute,"A spectral, floating hand appears at a point you choose within range. The hand lasts for the duration. The hand vanishes if it is ever more than 30 feet away from you or if you cast this spell again.\nWhen you cast the spell, you can use the hand to manipulate an object, open an unlocked door or container, stow or retrieve an item from an open container, or pour the contents out of a vial.\nAs a Magic action on your later turns, you can control the hand thus again. As part of that action, you can move the hand up to 30 feet.\nThe hand can't attack, activate magic items, or carry more than 10 pounds.","Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Magic Circle,FALSE,abjuration,"control, warding, debuff, buff",3,1 minute,10 feet,"V, S, M (salt and powdered silver worth 100+ GP, which the spell consumes)",1 hour,"You create a 10-foot-radius, 20-foot-tall Cylinder of magical energy centered on a point on the ground that you can see within range. Glowing runes appear wherever the Cylinder intersects with the floor or other surface.\nChoose one or more of the following types of creatures: Celestials, Elementals, Fey, Fiends, or Undead. The circle affects a creature of the chosen type in the following ways:\n• The creature can't willingly enter the Cylinder by nonmagical means. If the creature tries to use teleportation or interplanar travel to do so, it must first succeed on a Charisma saving throw.\n• The creature has Disadvantage on attack rolls against targets within the Cylinder.\n• Targets within the Cylinder can't be possessed by or gain the Charmed or Frightened condition from the creature.\nEach time you cast this spell, you can cause its magic to operate in the reverse direction, preventing a creature of the specified type from leaving the Cylinder and protecting targets outside it.\nUsing a Higher-Level Spell Slot. The duration increases by 1 hour for each spell slot level above 3.","Cleric, Paladin, Warlock, Wizard",Player's Handbook 2024
Magic Jar,FALSE,necromancy,utility,6,1 minute,Self,"V, S, M (a gem, crystal, or reliquary worth 500+ GP)",Until dispelled,"Your body falls into a catatonic state as your soul leaves it and enters the container you used for the spell's Material component. While your soul inhabits the container, you are aware of your surroundings as if you were in the container's space. You can't move or take Reactions. The only action you can take is to project your soul up to 100 feet out of the container, either returning to your living body (and ending the spell) or attempting to possess a Humanoid's body.\nYou can attempt to possess any Humanoid within 100 feet of you that you can see (creatures warded by a Protection from Evil and Good or Magic Circle spell can't be possessed). The target makes a Charisma saving throw. On a failed save, your soul enters the target's body, and the target's soul becomes trapped in the container. On a successful save, the target resists your efforts to possess it, and you can't attempt to possess it again for 24 hours.\nOnce you possess a creature's body, you control it. Your Hit Points, Hit Point Dice, Strength, Dexterity, Constitution, Speed, and senses are replaced by the creature's. You otherwise keep your game statistics.\nMeanwhile, the possessed creature's soul can perceive from the container using its own senses, but it can't move and it is Incapacitated.\nWhile possessing a body, you can take a Magic action to return from the host body to the container if it is within 100 feet of you, returning the host creature's soul to its body. If the host body dies while you're in it, the creature dies, and you make a Charisma saving throw against your own spellcasting DC. On a success, you return to the container if it is within 100 feet of you. Otherwise, you die.\nIf the container is destroyed or the spell ends, your soul returns to your body. If your body is more than 100 feet away from you or if your body is dead, you die. If another creature's soul is in the container when it is destroyed, the creature's soul returns to its body if the body is alive and within 100 feet. Otherwise, that creature dies.\nWhen the spell ends, the container is destroyed.",Wizard,Player's Handbook 2024
Magic Missile,FALSE,evocation,"damage, force",1,Action,120 feet,"V, S",Instantaneous,"You create three glowing darts of magical force. Each dart strikes a creature of your choice that you can see within range. A dart deals 1d4 + 1 Force damage to its target. The darts all strike simultaneously, and you can direct them to hit one creature or several.\nUsing a Higher-Level Spell Slot. The spell creates one more dart for each spell slot level above 1.","Sorcerer, Wizard",Player's Handbook 2024
Magic Mouth,TRUE,illusion,"communication, utility",2,1 minute or Ritual,30 feet,"V, S, M (jade dust worth 10+ GP, which the spell consumes)",Until dispelled,"You implant a message within an object in range—a message that is uttered when a trigger condition is met. Choose an object that you can see and that isn't being worn or carried by another creature. Then speak the message, which must be 25 words or fewer, though it can be delivered over as long as 10 minutes. Finally, determine the circumstance that will trigger the spell to deliver your message.\nWhen that trigger occurs, a magical mouth appears on the object and recites the message in your voice and at the same volume you spoke. If the object you chose has a mouth or something that looks like a mouth (for example, the mouth of a statue), the magical mouth appears there, so the words appear to come from the object's mouth. When you cast this spell, you can have the spell end after it delivers its message, or it can remain and repeat its message whenever the trigger occurs.\nThe trigger can be as general or as detailed as you like, though it must be based on visual or audible conditions that occur within 30 feet of the object. For example, you could instruct the mouth to speak when any creature moves within 30 feet of the object or when a silver bell rings within 30 feet of it.","Bard, Wizard",Player's Handbook 2024
Magic Weapon,FALSE,transmutation,damage,2,Bonus Action,Touch,"V, S",1 hour,"You touch a nonmagical weapon. Until the spell ends, that weapon becomes a magic weapon with a +1 bonus to attack rolls and damage rolls. The spell ends early if you cast it again.\nUsing a Higher-Level Spell Slot. The bonus increases to +2 with a level 3–5 spell slot. The bonus increases to +3 with a level 6+ spell slot.","Paladin, Ranger, Sorcerer, Wizard",Player's Handbook 2024
Major Image,FALSE,illusion,"deception, utility",3,Action,120 feet,"V, S, M (a bit of fleece)","Concentration, up to 10 minutes","You create the image of an object, a creature, or some other visible phenomenon that is no larger than a 20-foot Cube. The image appears at a spot that you can see within range and lasts for the duration. It seems real, including sounds, smells, and temperature appropriate to the thing depicted, but it can't deal damage or cause conditions.\nIf you are within range of the illusion, you can take a Magic action to cause the image to move to any other spot within range. As the image changes location, you can alter its appearance so that its movements appear natural for the image. For example, if you create an image of a creature and move it, you can alter the image so that it appears to be walking. Similarly, you can cause the illusion to make different sounds at different times, even making it carry on a conversation, for example.\nPhysical interaction with the image reveals it to be an illusion, for things can pass through it. A creature that takes a Study action to examine the image can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the creature can see through the image, and its other sensory qualities become faint to the creature.\nUsing a Higher-Level Spell Slot. The spell lasts until dispelled, without requiring Concentration, if cast with a level 4+ spell slot.","Bard, Sorcerer, Warlock, Wizard",Player's Handbook 2024
Mass Cure Wounds,FALSE,abjuration,healing,5,Action,60 feet,"V, S",Instantaneous,A wave of healing energy washes out from a point you can see within range. Choose up to six creatures in a 30-foot-radius Sphere centered on that point. Each target regains Hit Points equal to 5d8 plus your spellcasting ability modifier.\nUsing a Higher-Level Spell Slot. The healing increases by 1d8 for each spell slot level above 5.,"Bard, Cleric, Druid",Player's Handbook 2024
Mass Heal,FALSE,abjuration,healing,9,Action,60 feet,"V, S",Instantaneous,"A flood of healing energy flows from you into creatures around you. You restore up to 700 Hit Points, divided as you choose among any number of creatures that you can see within range. Creatures healed by this spell also have the Blinded, Deafened, and Poisoned conditions removed from them.",Cleric,Player's Handbook 2024
Mass Healing Word,FALSE,abjuration,healing,3,Bonus Action,60 feet,V,Instantaneous,Up to six creatures of your choice that you can see within range regain Hit Points equal to 2d4 plus your spellcasting ability modifier.\nUsing a Higher-Level Spell Slot. The healing increases by 1d4 for each spell slot level above 3.,"Bard, Cleric",Player's Handbook 2024
